,Events,Av Score,M18,U18,O18,P18,M19,P19,U19,O19,P20,U20,M20,M21,P21,U21,O21,M22,P22,U22,O22,M23,P23,U23,O23,M24,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer
Brice Garnett,1,69.50,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5300,600/1,Bet 365,Further details
Scottie Scheffler,16,69.95,-,-,-,-,-,-,MC,-,4,-,19,18,8,7,8,1,MC,2,21,10,2,3,23,1,13200,4/1,Bet 365,Further details
Ludvig Aberg,1,70.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,10500,18/1,Bet 365,Further details
Brooks Koepka,22,70.37,-,1,39,1,2,1,2,4,29,-,7,MC,2,4,6,MC,55,55,MC,2,1,17,64,45,10800,14/1,Bet 365,Further details
Rory McIlroy,24,70.39,5,MC,2,50,21,8,9,MC,33,8,5,MC,49,7,46,2,8,5,3,MC,7,2,6,22,12000,7/1,Bet 365,Further details
Jon Rahm,24,70.44,4,MC,MC,4,9,MC,3,11,13,23,7,5,8,1,3,27,48,12,34,1,50,10,2,45,11400,16/1,Bet 365,Further details
Xander Schauffele,24,70.53,50,6,2,35,2,16,3,41,10,5,17,3,MC,7,26,MC,13,14,15,10,18,10,17,8,10900,16/1,Bet 365,Further details
Collin Morikawa,17,70.63,-,-,-,-,-,-,35,-,1,MC,44,18,8,4,1,5,55,5,MC,10,26,14,MC,3,10200,25/1,Bet 365,Further details
Alex Smalley,1,70.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,-,-,-,-,275/1,Bet 365,Further details
Viktor Hovland,17,70.85,-,-,-,-,32,-,12,-,33,13,-,21,30,WD,12,27,41,MC,4,7,2,19,13,MC,9200,35/1,Bet 365,Further details
Will Zalatoris,11,70.89,-,MC,-,-,-,-,-,-,-,6,-,2,8,MC,WD,6,2,2,28,-,-,-,-,9,9100,50/1,Bet 365,Further details
Dustin Johnson,24,70.90,10,3,MC,27,2,2,35,51,2,6,1,MC,MC,19,8,12,MC,24,6,48,55,10,MC,MC,8000,50/1,Bet 365,Further details
Rickie Fowler,18,70.91,2,20,28,12,9,36,43,6,MC,49,29,-,8,-,53,-,23,-,-,-,MC,5,23,30,7400,110/1,Bet 365,Further details
Tommy Fleetwood,24,70.92,17,2,12,35,36,48,65,2,29,MC,19,46,MC,50,33,14,5,MC,4,33,18,5,10,3,8700,40/1,Bet 365,Further details
Jordan Spieth,24,70.98,3,MC,9,12,21,3,65,20,71,MC,46,3,30,19,2,MC,34,37,8,4,29,MC,23,MC,8800,55/1,Bet 365,Further details
David Puig,1,71.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,-,-,5800,300/1,Bet 365,Further details
Patrick Reed,24,71.07,1,4,28,MC,36,MC,32,10,13,13,10,8,17,19,MC,35,34,49,47,4,18,56,33,12,8000,125/1,Bet 365,Further details
Justin Rose,23,71.14,12,10,2,19,MC,29,3,20,9,MC,23,7,8,MC,46,MC,13,37,-,16,9,MC,MC,MC,6900,225/1,Bet 365,Further details
Cameron Smith,24,71.16,5,MC,78,56,51,64,72,20,43,38,2,10,59,MC,33,3,13,MC,1,34,9,4,33,6,9800,35/1,Bet 365,Further details
