Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024 Odds,Bookmaker,New Account Offer
Scottie Scheffler,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,12/5,Bet 365,Further details
Sepp Straka,-,38,29,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,10,2,35/1,Bet 365,Further details
Justin Thomas,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,11,12,5,5,5,3,10/1,Bet 365,Further details
Brian Harman,-,-,-,-,13^,-,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-,-,-,8,35/1,Bet 365,Further details
Jason Day,-,-,-,-,-,-,-,-,-,-,8,-,-,15,15,9,5,-,-,-,16,-,-,-,11,22/1,Bet 365,Further details
Keegan Bradley,-,-,-,-,-,-,-,-,-,-,-,-,-,17,2,13,3,-,-,-,15,-,-,-,13,35/1,Bet 365,Further details
Cameron Young,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,15,30/1,Bet 365,Further details
Sam Burns,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,12,16,14/1,Bet 365,Further details
Wyndham Clark,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,16/1,Bet 365,Further details
Sungjae Im,-,-,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,14/1,Bet 365,Further details
Tom Kim,-,-,-,-,-,MC,2,-,-,-,MC^,-,-,-,-,-,-,-,-,-,-,-,-,10,-,14/1,Bet 365,Further details
Patrick Cantlay,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,17,-,-,-,8/1,Bet 365,Further details
Ludvig Aberg,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9/1,Bet 365,Further details
Aaron Rai,42,4,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25/1,Bet 365,Further details
Akshay Bhatia,-,-,-,-,-,-,-,-,-,2^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25/1,Bet 365,Further details
Matthieu Pavon,-,40,52,62,57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80/1,Bet 365,Further details
Nick Dunlap,-,-,-,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45/1,Bet 365,Further details
Robert MacIntyre,5,12,-,25,-,-,-,-,19,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25/1,Bet 365,Further details
Russell Henley,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14/1,Bet 365,Further details
Sahith Theegala,7,-,-,-,-,-,56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18/1,Bet 365,Further details
