,Events,Av Score,M18,U18,O18,P18,M19,P19,U19,O19,P20,U20,M20,M21,P21,U21,O21,M22,P22,U22,O22,M23,P23,U23,O23,M24,P24,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer
Ben Kohles,1,68.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,5700,750/1,Bet 365,Further details
Scottie Scheffler,17,69.81,-,-,-,-,-,-,MC,-,4,-,19,18,8,7,8,1,MC,2,21,10,2,3,23,1,8,13000,3/1,Bet 365,Further details
Seonghyeon Kim,1,70.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63,5900,400/1,Bet 365,Further details
Rory McIlroy,25,70.28,5,MC,2,50,21,8,9,MC,33,8,5,MC,49,7,46,2,8,5,3,MC,7,2,6,22,12,12100,11/1,Bet 365,Further details
Brooks Koepka,23,70.29,-,1,39,1,2,1,2,4,29,-,7,MC,2,4,6,MC,55,55,MC,2,1,17,64,45,26,10000,20/1,Bet 365,Further details
Xander Schauffele,25,70.33,50,6,2,35,2,16,3,41,10,5,17,3,MC,7,26,MC,13,14,15,10,18,10,17,8,1,11500,11/1,Bet 365,Further details
Collin Morikawa,18,70.42,-,-,-,-,-,-,35,-,1,MC,44,18,8,4,1,5,55,5,MC,10,26,14,MC,3,4,9400,14/1,Bet 365,Further details
Ludvig Aberg,2,70.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,MC,9600,20/1,Bet 365,Further details
Viktor Hovland,18,70.58,-,-,-,-,32,-,12,-,33,13,-,21,30,WD,12,27,41,MC,4,7,2,19,13,MC,3,9800,14/1,Bet 365,Further details
Austin Eckroat,4,70.67,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,MC,18,6700,200/1,Bet 365,Further details
Will Zalatoris,12,70.76,-,MC,-,-,-,-,-,-,-,6,-,2,8,MC,WD,6,2,2,28,-,-,-,-,9,43,8300,66/1,Bet 365,Further details
Tommy Fleetwood,25,70.83,17,2,12,35,36,48,65,2,29,MC,19,46,MC,50,33,14,5,MC,4,33,18,5,10,3,26,8500,28/1,Bet 365,Further details
Dustin Johnson,25,70.84,10,3,MC,27,2,2,35,51,2,6,1,MC,MC,19,8,12,MC,24,6,48,55,10,MC,MC,43,7400,80/1,Bet 365,Further details
Rickie Fowler,19,70.88,2,20,28,12,9,36,43,6,MC,49,29,-,8,-,53,-,23,-,-,-,MC,5,23,30,63,7000,150/1,Bet 365,Further details
Jordan Spieth,25,70.91,3,MC,9,12,21,3,65,20,71,MC,46,3,30,19,2,MC,34,37,8,4,29,MC,23,MC,43,7900,60/1,Bet 365,Further details
Justin Rose,24,70.96,12,10,2,19,MC,29,3,20,9,MC,23,7,8,MC,46,MC,13,37,-,16,9,MC,MC,MC,6,7000,100/1,Bet 365,Further details
Hideki Matsuyama,24,71.07,19,16,MC,35,32,16,21,MC,22,17,13,1,23,26,-,14,60,4,68,16,29,32,13,38,35,8000,45/1,Bet 365,Further details
Shane Lowry,24,71.09,-,MC,MC,12,MC,8,28,1,66,43,25,21,4,65,12,3,23,MC,21,16,12,20,MC,43,6,7700,55/1,Bet 365,Further details
